2026-04-13 22:20:03.890: [INFO] VisibilityChanged: 0
2026-04-13 22:20:04.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.007: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.011: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.016: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.023: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.029: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.034: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.039: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.043: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.047: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.053: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.057: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.090: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-04-13 22:20:04.090: [INFO] OnDoneLoading sync enabled: 0
2026-04-13 22:20:04.246: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:11.833: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:11.839: [INFO] Primary account changed.
2026-04-13 22:20:11.839: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-04-13 22:20:11.857: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:11.893: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:19.425: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.428: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.430: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.432: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.435: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.438: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.440: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.443: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.445: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.448: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.450: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.452: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.455: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.458: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.460: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.463: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.465: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.468: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.471: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.474: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.477: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.479: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.482: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.484: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.487: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.489: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.492: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.495: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.497: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.498: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.500: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.502: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.505: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.507: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.510: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.512: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.515: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.517: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.519: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.522: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.522: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.525: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.528: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.530: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.532: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.535: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.537: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.539: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.543: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.545: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.548: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.551: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.553: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.556: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.558: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.561: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.563: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.565: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.567: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.570: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.573: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.576: [INFO] BookmarkNodeAdded, ABU: 0
